=== Hyperparameter Tuning for Standard MLP ===
Goal: Maximize accuracy through systematic search

Loading data...
Dataset: 33171 train | 7108 val | 7109 test

Testing 242 configurations...

  # |  Emb |  Hid |  Out |     LR |   Temp |   BS | Epochs | Val Acc | Test Acc
----------------------------------------------------------------------------------------------------
181 |  128 |  512 |  128 | 0.0005 | 0.0500 |  256 |     30 |  66.66% |   65.38%
182 |  128 |  512 |  128 | 0.0005 | 0.1000 |  256 |     30 |  66.63% |   65.38%
183 |  128 |  512 |  128 | 0.0005 | 0.2000 |  256 |     30 |  66.60% |   65.37%
184 |  128 |  512 |  128 | 0.0005 | 0.5000 |  256 |     30 |  66.59% |   65.37%
185 |  128 |  512 |  128 | 0.0010 | 0.0500 |  256 |     30 |  70.69% |   69.63%
186 |  128 |  512 |  128 | 0.0010 | 0.1000 |  256 |     30 |  70.72% |   69.63%
187 |  128 |  512 |  128 | 0.0010 | 0.2000 |  256 |     30 |  70.71% |   69.62%
188 |  128 |  512 |  128 | 0.0010 | 0.5000 |  256 |     30 |  70.74% |   69.63%
189 |  128 |  512 |  128 | 0.0050 | 0.0500 |  256 |     30 |  78.52% |   78.31%
190 |  128 |  512 |  128 | 0.0050 | 0.1000 |  256 |     30 |  77.19% |   77.21%
191 |  128 |  512 |  128 | 0.0050 | 0.2000 |  256 |     18 |  72.75% |   71.47%
192 |  128 |  512 |  128 | 0.0050 | 0.5000 |  256 |     19 |  72.59% |   71.56%
193 |  256 |  128 |  256 | 0.0001 | 0.0500 |  256 |     30 |  54.45% |   54.31%
194 |  256 |  128 |  256 | 0.0001 | 0.1000 |  256 |     30 |  54.43% |   54.31%
195 |  256 |  128 |  256 | 0.0001 | 0.2000 |  256 |     30 |  54.43% |   54.31%
196 |  256 |  128 |  256 | 0.0001 | 0.5000 |  256 |     30 |  54.43% |   54.31%
197 |  256 |  128 |  256 | 0.0005 | 0.0500 |  256 |     30 |  61.68% |   62.01%
198 |  256 |  128 |  256 | 0.0005 | 0.1000 |  256 |     30 |  61.66% |   62.01%
199 |  256 |  128 |  256 | 0.0005 | 0.2000 |  256 |     30 |  61.66% |   62.01%
200 |  256 |  128 |  256 | 0.0005 | 0.5000 |  256 |     30 |  61.66% |   62.01%
201 |  256 |  128 |  256 | 0.0010 | 0.0500 |  256 |     30 |  64.52% |   64.83%
202 |  256 |  128 |  256 | 0.0010 | 0.1000 |  256 |     30 |  64.52% |   64.82%
203 |  256 |  128 |  256 | 0.0010 | 0.2000 |  256 |     30 |  64.55% |   64.79%
204 |  256 |  128 |  256 | 0.0010 | 0.5000 |  256 |     30 |  64.55% |   64.78%
205 |  256 |  128 |  256 | 0.0050 | 0.0500 |  256 |     30 |  73.90% |   72.51%
206 |  256 |  128 |  256 | 0.0050 | 0.1000 |  256 |     30 |  74.69% |   73.91%
207 |  256 |  128 |  256 | 0.0050 | 0.2000 |  256 |     30 |  74.93% |   74.27%
208 |  256 |  128 |  256 | 0.0050 | 0.5000 |  256 |     30 |  75.00% |   74.33%
209 |  256 |  256 |  256 | 0.0001 | 0.0500 |  256 |     30 |  54.71% |   54.20%
210 |  256 |  256 |  256 | 0.0001 | 0.1000 |  256 |     30 |  54.71% |   54.20%
211 |  256 |  256 |  256 | 0.0001 | 0.2000 |  256 |     30 |  54.71% |   54.20%
212 |  256 |  256 |  256 | 0.0001 | 0.5000 |  256 |     30 |  54.71% |   54.20%
213 |  256 |  256 |  256 | 0.0005 | 0.0500 |  256 |     30 |  60.99% |   60.71%
214 |  256 |  256 |  256 | 0.0005 | 0.1000 |  256 |     30 |  60.99% |   60.70%
215 |  256 |  256 |  256 | 0.0005 | 0.2000 |  256 |     30 |  60.99% |   60.71%
216 |  256 |  256 |  256 | 0.0005 | 0.5000 |  256 |     30 |  60.99% |   60.71%
217 |  256 |  256 |  256 | 0.0010 | 0.0500 |  256 |     30 |  64.12% |   63.72%
218 |  256 |  256 |  256 | 0.0010 | 0.1000 |  256 |     30 |  64.05% |   63.74%
219 |  256 |  256 |  256 | 0.0010 | 0.2000 |  256 |     30 |  64.05% |   63.72%
